,Category(1),Average Pot Capture(1),Pot Capture Certainty (95% Confidence)(1),Meets Criteria? (<5%) (1)
0,AceHighOverRiver,0.08964815276343276,0.011699027031925768,YES
0,AceHighOverTurn,0.1211614121069621,0.008567710795067853,YES
0,AceHighFlop,0.15869251806882897,0.003805685675727856,YES
0,BroadwayRiverOvercard,0.11347136712039653,0.007188646145054196,YES
0,BroadwayTurnOvercard,0.08970166119824738,0.007878588732061055,YES
0,Flop2BLowTurnRiver,0.11877752283817009,0.004734529745483055,YES
0,Flop3BLowTurnRiver,0.1533183141971738,0.01730347080730591,YES
0,Low_Through_River,0.10255756618790801,0.006425842189849717,YES
0,Pairing_River,0.11879341036646476,0.004024930884685263,YES
0,Pairing_Turn,0.1476932584589127,0.004318931820112554,YES
0,Paired_Flop,0.14323447309210982,0.00575039864942661,YES
0,Non_FlushClose_River,0.12515678091504395,0.0023446070055927943,YES
0,FlushClose_River,0.14236310886074738,0.003360612580426205,YES
0,Rainbow_Turn,0.12712107156295507,0.0055924641292228955,YES
0,FlushClose_Turn,0.1430766310150938,0.004229834044414813,YES
0,Monotone_Flop,0.1432565316300775,0.01237836035142915,YES
0,FlushRiver_4Card,0.1884007202974309,0.007285964155611289,YES
0,StraightRiver_4Card,0.11568530208026793,0.012300235368912567,YES
0,FlushTurn_4Card,0.12063494726365499,0.012057507617017614,YES
0,StraightTurn_4Card,0.09068419023965722,0.029958834038428906,YES
